Serial number 090123001's Json reads: Device id: 1000000000862add, Device Type: hub, S3 Entry #1
Serial number 110923018's Json reads: Device id: 1000000000eb7857, Device Type: hub, S3 Entry #1
Serial number 020924013's Json reads: Device id: 10000000011e44c9, Device Type: hub, S3 Entry #1
Serial number 022124028's Json reads: Device id: 1000000001b7dda6, Device Type: hub, S3 Entry #1
Serial number 110923053's Json reads: Device id: 1000000002b88c87, Device Type: hub, S3 Entry #1
Serial number 110923026's Json reads: Device id: 1000000002be265d, Device Type: hub, S3 Entry #1
Serial number 100223016's Json reads: Device id: 10000000037c5199, Device Type: hub, S3 Entry #1
Serial number 112723003's Json reads: Device id: 1000000003a42eec, Device Type: hub, S3 Entry #1
Serial number 112723003's Json reads: Device id: 1000000003a42eec, Device Type: hub, S3 Entry #2
Serial number 110923001's Json reads: Device id: 100000000414ba40, Device Type: hub, S3 Entry #1
Serial number 110923001's Json reads: Device id: 100000000414ba40, Device Type: hub, S3 Entry #2
Serial number 101223006's Json reads: Device id: 1000000004556abd, Device Type: hub, S3 Entry #1
Serial number 081723001's Json reads: Device id: 1000000004a31bc4, Device Type: hub, S3 Entry #1
Serial number 081123006's Json reads: Device id: 1000000004ae040a, Device Type: hub, S3 Entry #1
Serial number 020924034's Json reads: Device id: 1000000004dbe11b, Device Type: hub, S3 Entry #1
Serial number 022124005's Json reads: Device id: 1000000005ab8a1b, Device Type: hub, S3 Entry #1
Serial number 010124026's Json reads: Device id: 1000000006c62527, Device Type: hub, S3 Entry #1
Serial number 081123013's Json reads: Device id: 10000000079923aa, Device Type: hub, S3 Entry #1
Serial number 020924024's Json reads: Device id: 1000000007b9d667, Device Type: hub, S3 Entry #1
Serial number 081123014's Json reads: Device id: 1000000007d0bd77, Device Type: hub, S3 Entry #1
Serial number 101223022's Json reads: Device id: 1000000007d595e3, Device Type: hub, S3 Entry #1
Serial number 020924046's Json reads: Device id: 1000000009456e4f, Device Type: hub, S3 Entry #1
Serial number 010124030's Json reads: Device id: 1000000009cdd1f3, Device Type: hub, S3 Entry #1
Serial number 110923025's Json reads: Device id: 100000000a13a5a7, Device Type: hub, S3 Entry #1
Serial number 020924011's Json reads: Device id: 100000000a6eda6e, Device Type: hub, S3 Entry #1
Serial number 081123001's Json reads: Device id: 100000000ab5428e, Device Type: hub, S3 Entry #1
Serial number 112723023's Json reads: Device id: 100000000ad26e09, Device Type: hub, S3 Entry #1
Serial number 112723023's Json reads: Device id: 100000000ad26e09, Device Type: hub, S3 Entry #2
Serial number 110923004's Json reads: Device id: 100000000bcb8481, Device Type: hub, S3 Entry #1
Serial number 110923017's Json reads: Device id: 100000000e70884b, Device Type: hub, S3 Entry #1
Serial number 120723005's Json reads: Device id: 100000000f9764ff, Device Type: hub, S3 Entry #1
Serial number 101223008's Json reads: Device id: 100000000ff48952, Device Type: hub, S3 Entry #1
Serial number 020924037's Json reads: Device id: 1000000010fdd184, Device Type: hub, S3 Entry #1
Serial number 010124003's Json reads: Device id: 10000000118e29bf, Device Type: hub, S3 Entry #1
Serial number 020924042's Json reads: Device id: 100000001191fd5d, Device Type: hub, S3 Entry #1
Serial number 022124035's Json reads: Device id: 1000000011929e0e, Device Type: hub, S3 Entry #1
Serial number 080423004's Json reads: Device id: 1000000011b6816c, Device Type: hub, S3 Entry #1
Serial number 032024054's Json reads: Device id: 1000000011d0f114, Device Type: hub, S3 Entry #1
Serial number 081123010's Json reads: Device id: 100000001285652f, Device Type: hub, S3 Entry #1
Serial number 090123011's Json reads: Device id: 1000000012c21fc0, Device Type: hub, S3 Entry #1
Serial number 110923015's Json reads: Device id: 1000000012c9ec30, Device Type: hub, S3 Entry #1
Serial number 020924039's Json reads: Device id: 1000000012ee8d06, Device Type: hub, S3 Entry #1
Serial number 081123016's Json reads: Device id: 100000001384452b, Device Type: hub, S3 Entry #1
Serial number 100223013's Json reads: Device id: 1000000014036095, Device Type: hub, S3 Entry #1
